Grid size,A* Average time,A* Path Length,Greedy BFS Average time,Greedy BFS Path Length,Bi-BFS Average time,Bi-BFS Path Length
14,25,0.0009430800040718168,25,0.00034356999094597995,25,0.0008241000003181397
15,27,0.0008442400023341179,27,0.0002572700032033026,27,0.0009886900021228938
15,27,0.0010560700087808073,27,0.00031324000447057186,27,0.0009414499916601926
15,27,0.0010819900082424283,31,0.00033315999899059535,27,0.0009920400043483824
15,27,0.001058459997875616,33,0.00033682999201118947,27,0.00093502999516204
15,27,0.0010918699845205992,29,0.00027555000269785523,27,0.000897249998524785
15,27,0.0010711900074966251,29,0.00026218000566586853,27,0.0009814599878154695
15,27,0.0007711500104051084,33,0.0003266700019594282,27,0.0006262799899559468
15,27,0.0010862300114240497,27,0.0005623599921818822,27,0.0009459800028707832
15,27,0.0009550099959596992,27,0.0003270799934398383,27,0.0009866700042039157
15,27,0.00100820999359712,27,0.00026039998629130424,27,0.0008932700147852302
16,29,0.0014062100031878798,33,0.0003538499993737787,29,0.001192690001334995
16,29,0.0010373100056312978,31,0.0003120999957900494,29,0.0010775900154840201
16,29,0.001276830001734197,33,0.0003851500106975436,29,0.0010965100082103163
16,29,0.0011853299976792187,29,0.0003672199964057654,29,0.0013022700033616275
16,29,0.001062009995803237,33,0.0003443000023253262,29,0.0010299600020516665
16,29,0.0010692600044421852,33,0.0003429299918934703,29,0.0011394100030884147
16,31,0.0013132599997334182,33,0.0003054400032851845,31,0.0011034600029233843
16,29,0.0013872799987439065,31,0.0003098299785051495,29,0.0011875199852511287
16,35,0.0013833800097927452,35,0.000359879998723045,35,0.001086759997997433
16,29,0.0007335799979045987,29,0.00034184000687673686,29,0.0010914700047578662
17,31,0.0016275600006338208,33,0.000422839995007962,31,0.0013298400037456304
17,35,0.0011139400070533157,37,0.00046981999184936285,35,0.0011537899961695075
17,31,0.0015218799991998822,37,0.0004019100044388324,31,0.0012814100016839802
17,31,0.0012931899982504547,35,0.0003407400043215603,31,0.0011808200040832161
17,31,0.001198619999922812,35,0.0003457900078501552,31,0.0012383000110276043
17,31,0.0007985099975485355,39,0.00044355999561958016,31,0.001182040007552132
17,31,0.0012443399988114833,33,0.0003358500020112842,31,0.0012727699999231846
17,31,0.0016171399969607592,37,0.00035235999384894965,31,0.0013357499963603913
17,31,0.0008887599979061633,33,0.00035866000689566135,31,0.000987759983399883
17,31,0.0013441399903967976,31,0.00030725000542588534,31,0.0012712700001429767
18,33,0.0011617799929808826,35,0.00041116000502370296,33,0.0014714400109369307
18,33,0.001485429989406839,35,0.0003499599930364639,33,0.00139435000019148
18,33,0.0013582699990365653,33,0.0003552100039087236,33,0.0013262299878988415
18,33,0.0016602100047748535,39,0.000386399996932596,33,0.0014468800043687224
18,35,0.0011856900062412023,41,0.0003988099982962012,35,0.0013616199954412877
18,33,0.0013872499985154718,35,0.000467739999294281,33,0.0013369299878831953
18,33,0.0009979800030123442,41,0.0004288800118956715,33,0.0013620499928947538
18,33,0.001219370000762865,39,0.00036432999186217783,33,0.0012798299896530807
18,33,0.001344440010143444,33,0.0003968699835240841,33,0.0014362100046128035
18,33,0.001087789994198829,37,0.0003915100125595927,33,0.0013283000036608428
19,35,0.001941599993733689,37,0.00043550000409595666,35,0.0016798100026790054
19,39,0.001173739996738732,47,0.0005224699969403445,39,0.0014992899959906936
19,35,0.001347189996158704,35,0.0004336300014983863,35,0.0015472900005988777
19,35,0.0014364000060595572,37,0.0003770800016354769,35,0.001484020007774234
19,35,0.0017887499940115958,41,0.0007036899973172694,35,0.0019479100010357797
19,35,0.0011038600001484155,35,0.0003619099967181683,35,0.0014152100193314254
19,35,0.0013422299991361797,39,0.00045475000515580175,35,0.0014968300121836365
19,35,0.001145589997759089,37,0.0003895999863743782,35,0.001471540005877614
19,35,0.0016722299915272743,49,0.0005554800038225949,35,0.0015797000203747302
19,35,0.0016487300221342594,37,0.000348749989643693,35,0.0014601199887692927
20,37,0.0020676300046034157,43,0.0005924400058574975,37,0.0017436800000723452
20,37,0.0020968299999367447,41,0.0004158200055826455,37,0.0018372800084762275
20,37,0.0013424299890175463,45,0.0004403499944601208,37,0.001717159990221262
20,37,0.0017492299957666546,43,0.000536640005884692,37,0.0016539499803911895
20,37,0.0012592700019013136,41,0.0004246099852025509,37,0.001729909999994561
20,37,0.002108360006241128,41,0.0003871099906973541,37,0.0017851799901109188
20,37,0.001662820001365617,39,0.0004099200014024973,37,0.0016907000041101127
20,37,0.0015800900058820845,43,0.0004824199946597219,37,0.0016709499817807228
20,37,0.001293269993038848,47,0.000504179991548881,37,0.0017526399984490126
20,37,0.0013767900061793625,43,0.0004236500011757016,37,0.0016805700026452542
21,39,0.0018684799841139465,47,0.00048078000545501707,39,0.0018369900004472583
21,39,0.001859010010957718,45,0.0004898399813100696,39,0.001734990015393123
21,39,0.0020690200035460293,53,0.0006626599992159754,39,0.0019295300007797778
21,39,0.0019971099856775252,39,0.0005026700033340603,39,0.0019302300061099231
21,39,0.0012084599817171692,41,0.0004184799967333674,39,0.0018794000090565533
21,39,0.001865009986795485,41,0.00046927999355830254,39,0.0018106100091245026
21,39,0.0018012600019574165,45,0.0004690999921876937,39,0.001912849984364584
21,39,0.0017102899961173534,45,0.0004810700018424541,39,0.001979460008442402
